L0,Page Type,Type Template,Value Template,Key
fashion,brand_category,meta,Cập nhật [[category]] [[brand]] chính hãng | Coupons giảm đến [[discount]] khi mua hàng 🎯,plp.fashion.default_brand_category_meta
fashion,brand,meta,Giá [[brand]] chính hãng | Tiết kiệm [[discount]] 🎯 chi phí mua sắm từ [[merchant]],plp.fashion.default_brand_meta
fashion,brand_gender,meta,Mua [[brand]] [[gender]] chính hãng giá thấp nhất từ iPrice 💰| Coupons khuyến mãi [[discount]] trên đơn hàng 🤑,plp.fashion.default_brand_gender_meta
fashion,brand_category_gender,meta,Mua [[category]] [[brand]] [[gender]] chính hãng ✅ | Dùng coupon iPrice giảm giá [[discount]] 🎯,plp.fashion.default_brand_category_gender_meta
fashion,category,h1,Giá [[category]] Việt Nam,plp.fashion.default_category_h1
fashion,category_gender,h1,Giá [[category]] [[gender]],plp.fashion.default_category_gender_h1
fashion,brand_category,h1,Giá [[category]] [[brand]],plp.fashion.default_brand_category_h1
fashion,brand,h1,[[brand]] Việt Nam,plp.fashion.default_brand_h1
fashion,brand_gender,h1,Giá [[brand]] [[gender]],plp.fashion.default_brand_gender_h1
fashion,brand_category_gender,h1,Giá [[category]] [[brand]] [[gender]],plp.fashion.default_brand_category_gender_h1
fashion,brand_series,title,"[[brand]] [[series]] chính hãng | Ưu đãi tốt, giá hấp dẫn",plp.fashion.default_brand_series_title
fashion,brand_series,meta,So sánh giá [[brand]] [[series]] từ nhà cung cấp[[merchant1]][[merchant2]] | [[brand]] [[series]] chất lượng tuyệt vời!,plp.fashion.default_brand_series_meta
fashion,brand_series,h1,Giá bán [[brand]] [[series]] Online,plp.fashion.default_brand_series_h1
fashion,brand_series_model,title,[[brand]] [[series]] [[model]] | các ưu đãi giá trực tuyến tốt nhất tại [[country]] | iPrice,plp.fashion.default_brand_series_model_title
fashion,brand_series_model,meta,Mua sắm [[brand]] [[series]] [[model]] mới ra mắt với chương trình khuyến mãi & ưu đãi mới nhất ★ Tìm kiếm ưu đãi giá rẻ ★ Không giới hạn trong lựa chọn,plp.fashion.default_brand_series_model_meta
fashion,brand_series_model,h1,[[brand]] [[series]] [[model]],plp.fashion.default_brand_series_model_h1
fashion,brand_series_gender,title,[[brand]] Việt Nam | Giá [[brand]] [[series]] [[gender]] giảm giá,plp.fashion.default_brand_series_gender_title
fashion,brand_series_gender,meta,Mua [[brand]] [[series]] [[gender]] chính hãng ✅ | Dùng coupon iPrice giảm giá [[discount]] 🎯,plp.fashion.default_brand_series_gender_meta
fashion,brand_series_gender,h1,Giá [[brand]] [[series]] [[gender]],plp.fashion.default_brand_series_gender_h1
fashion,brand_series_model_gender,title,[[brand]] [[series]] [[model]] cho [[gender]] | các ưu đãi giá trực tuyến tốt nhất tại [[country]] | iPrice,plp.fashion.default_brand_series_model_gender_title
fashion,brand_series_model_gender,meta,Mua sắm [[brand]] [[series]] [[model]] cho [[gender]] mới ra mắt với chương trình khuyến mãi & ưu đãi mới nhất ★ Tìm kiếm ưu đãi giá rẻ ★ Không giới hạn trong lựa chọn,plp.fashion.default_brand_series_model_gender_meta
fashion,brand_series_model_gender,h1,[[brand]] [[series]] [[model]] cho [[gender]],plp.fashion.default_brand_series_model_gender_h1
fashion,brand_series_category,title,[[brand]] Việt Nam | Mua [[category]] [[brand]] [[series]] giảm giá,plp.fashion.default_brand_series_category_title
fashion,brand_series_category,meta,Mua [[category]] [[brand]] [[series]] chính hãng ✅ | Dùng coupon iPrice giảm giá [[discount]] 🎯,plp.fashion.default_brand_series_category_meta
fashion,brand_series_category,h1,Giá [[category]] [[brand]] [[series]],plp.fashion.default_brand_series_category_h1
fashion,brand_series_model_category,title,Sản phẩm [[category]] [[brand]] [[series]] [[model]] | các ưu đãi giá trực tuyến tốt nhất tại [[country]] | iPrice,plp.fashion.default_brand_series_model_category_title
fashion,brand_series_model_category,meta,Mua sắm sản phẩm [[category]] [[brand]] [[series]] [[model]] mới ra mắt với chương trình khuyến mãi & ưu đãi mới nhất ★ Tìm kiếm ưu đãi giá rẻ ★ Không giới hạn trong lựa chọn,plp.fashion.default_brand_series_model_category_meta
fashion,brand_series_model_category,h1,[[category]] [[brand]] [[series]] [[model]],plp.fashion.default_brand_series_model_category_h1
fashion,brand_series_category_gender,title,[[brand]] Việt Nam | Giá [[category]] [[brand]] [[series]] [[gender]] chính hãng | Khuyến mãi lớn,plp.fashion.default_brand_series_category_gender_title
fashion,brand_series_category_gender,meta,[[category]] [[brand]] [[series]] [[gender]] chính hãng | Giá [[category]] [[brand]] [[series]] rẻ hơn khi mua online,plp.fashion.default_brand_series_category_gender_meta
fashion,brand_series_category_gender,h1,Giá [[category]] [[brand]] [[series]] [[gender]],plp.fashion.default_brand_series_category_gender_h1
fashion,brand_series_model_category_gender,title,Sản phẩm [[category]] [[brand]] [[series]] [[model]] cho [[gender]] | các ưu đãi giá trực tuyến tốt nhất tại [[country]] | iPrice,plp.fashion.default_brand_series_model_category_gender_title
fashion,brand_series_model_category_gender,meta,Mua sắm sản phẩm [[category]] [[brand]] [[series]] [[model]] cho [[gender]] mới ra mắt với chương trình khuyến mãi & ưu đãi mới nhất ★ Tìm kiếm ưu đãi giá rẻ ★ Không giới hạn trong lựa chọn,plp.fashion.default_brand_series_model_category_gender_meta
fashion,brand_series_model_category_gender,h1,[[category]] [[brand]] [[series]] [[model]] cho [[gender]],plp.fashion.default_brand_series_model_category_gender_h1
sports-outdoor,category,title,"[[category]] chính hãng | Giá ưu đãi, khuyến mãi lớn",plp.sports-outdoor.default_category_title
sports-outdoor,category_gender,title,Giá [[category]] [[gender]] chính hãng | Khuyến mãi lớn,plp.sports-outdoor.default_category_gender_title
sports-outdoor,brand_category,title,[[brand]] Việt Nam | [[category]] [[brand]] chính hãng | Giá tốt,plp.sports-outdoor.default_brand_category_title
sports-outdoor,brand,title,"[[brand]] Việt Nam |[[categoryBrand1]][[categoryBrand2]][[categoryBrand3]] chính hãng, giá tốt",plp.sports-outdoor.default_brand_title
